family,n,seed,p,opt,base,tr,warm,randFT,gain_warm_minus_base,fp_rho,fp_grad,fp_hit,gate,skip_reason,donor,scale,time_s,warm_executed
ER_dense_p05_weighted,12,1042,2,11.702,8.871,8.591,8.871,8.858,-0.001,0.61,0.54,0,PASS,,block,1.0,29.2,True
ER_dense_p05_weighted,12,1043,2,13.207,11.608,11.637,11.637,10.675,0.029,0.73,0.91,1,PASS,,circulant,1.0,29.24,True
ER_dense_p05_weighted,12,1044,2,16.805,11.93,11.812,11.898,9.753,-0.031,0.93,0.94,1,PASS,,circulant,1.0,28.4,True
ER_dense_p05_weighted,12,1045,2,12.948,10.36,10.862,11.206,9.04,0.847,0.86,0.87,1,PASS,,circulant,1.0,26.02,True
ER_dense_p05_weighted,12,1046,2,12.076,9.613,9.801,10.417,10.421,0.804,0.9,0.85,1,PASS,,circulant,1.0,26.89,True
ER_dense_p05_weighted,12,1042,3,11.702,8.924,6.915,nan,7.817,nan,0.59,0.46,0,SKIP,transfer_worse_than_base,lowrank2,1.0,40.19,False
ER_dense_p05_weighted,12,1043,3,13.207,9.173,10.669,10.669,10.612,1.496,0.49,0.59,1,PASS,,circulant,1.0,38.49,True
ER_dense_p05_weighted,12,1044,3,16.805,10.024,9.537,9.612,9.951,-0.412,0.56,0.51,1,PASS,,circulant,1.0,39.3,True
ER_dense_p05_weighted,12,1045,3,12.948,10.39,10.79,11.143,11.057,0.753,0.36,0.87,1,PASS,,circulant,1.0,39.27,True
ER_dense_p05_weighted,12,1046,3,12.076,10.45,9.641,9.641,8.298,-0.808,0.43,0.45,0,PASS,,strength,1.0,41.97,True
ER_dense_p05_weighted,12,1042,4,11.702,9.677,nan,nan,7.786,nan,0.16,0.47,1,SKIP,fp_gate_fail,block,1.0,38.22,False
ER_dense_p05_weighted,12,1043,4,13.207,9.209,8.941,9.132,10.633,-0.078,0.67,0.49,1,PASS,,circulant,1.0,50.21,True
ER_dense_p05_weighted,12,1044,4,16.805,10.0,nan,nan,11.837,nan,0.17,0.8,1,SKIP,fp_gate_fail,powlaw,1.0,39.19,False
ER_dense_p05_weighted,12,1045,4,12.948,9.104,9.019,9.019,9.16,-0.085,0.46,0.22,0,PASS,,block,1.0,52.37,True
ER_dense_p05_weighted,12,1046,4,12.076,10.446,8.276,nan,10.38,nan,0.43,0.33,1,SKIP,transfer_worse_than_base,strength,1.0,50.98,False
ER_dense_p05_weighted,12,1042,5,11.702,9.762,7.942,nan,7.327,nan,0.78,0.37,0,SKIP,transfer_worse_than_base,powlaw,1.0,65.75,False
ER_dense_p05_weighted,12,1043,5,13.207,11.961,10.516,nan,11.524,nan,0.75,0.9,1,SKIP,transfer_worse_than_base,circulant,1.0,66.39,False
ER_dense_p05_weighted,12,1044,5,16.805,11.849,11.558,11.904,9.721,0.055,0.75,0.87,1,PASS,,circulant,1.0,67.97,True
ER_dense_p05_weighted,12,1045,5,12.948,10.42,8.522,nan,10.268,nan,0.6,0.19,0,SKIP,transfer_worse_than_base,lowrank2,1.0,65.72,False
ER_dense_p05_weighted,12,1046,5,12.076,10.42,9.581,9.607,10.764,-0.813,0.45,0.55,0,PASS,,block,1.0,63.96,True
